timestamp	candidate	regime	seed	baseline	metric	value	diagnostics	decision	artifact
2026-08-03T11:28:10+02:00	b0-short-detached-last	blind	101	self	mnist_validation_accuracy	0.9015	effective_rank=21.183;median_variance=4.84e-5;nearest_centroid=0.8598	keep-common-baseline	artifacts/recovery-v2/b0-short-detached-last/seed-101.json
2026-08-03T11:28:10+02:00	readout-all	blind	101	b0-short-detached-last	mnist_validation_accuracy	0.9529	effective_rank=50.507;median_variance=0.4210;nearest_centroid=0.8704	keep-primary-matched-readout	artifacts/recovery-v2/readout-all/seed-101.json
2026-08-03T11:31:50+02:00	undetached	blind	101	b0-short-detached-last	mnist_validation_accuracy	0.8864	effective_rank=7.750;median_variance=1.64e-5;nearest_centroid=0.8346	discard-alone	artifacts/recovery-v2/undetached/seed-101.json
2026-08-03T11:31:50+02:00	greedy-10	scientific	101	b0-short-detached-last	mnist_validation_accuracy	0.9071	effective_rank=14.806;median_variance=9.70e-5;nearest_centroid=0.8696	advance-with-longer-training	artifacts/recovery-v2/greedy-10/seed-101.json
2026-08-03T11:31:50+02:00	batchnorm	scientific	101	b0-short-detached-last	mnist_validation_accuracy	0.9365	effective_rank=44.774;median_variance=0.7650;nearest_centroid=0.8668	keep-ingredient	artifacts/recovery-v2/batchnorm/seed-101.json
2026-08-03T11:31:50+02:00	affine	scientific	101	b0-short-detached-last	mnist_validation_accuracy	0.9018	effective_rank=32.882;median_variance=0.2950;nearest_centroid=0.8031	discard-alone-retain-fidelity-combination	artifacts/recovery-v2/affine/seed-101.json
2026-08-03T11:31:50+02:00	lateral-current	scientific	101	b0-short-detached-last	mnist_validation_accuracy	0.9489	effective_rank=108.941;median_variance=0.6808;nearest_centroid=0.9181	keep-ingredient	artifacts/recovery-v2/lateral-current/seed-101.json
2026-08-03T11:34:28+02:00	recovered-short	blind	101	b0-short-detached-last	mnist_validation_accuracy	0.9600	effective_rank=146.523;median_variance=0.6589;nearest_centroid=0.9138	keep-finalist	artifacts/recovery-v2/recovered-short/seed-101.json
2026-08-03T11:34:28+02:00	recovered-bn	blind	101	recovered-short	mnist_validation_accuracy	0.9325	effective_rank=271.809;median_variance=0.7277;nearest_centroid=0.8916	discard	artifacts/recovery-v2/recovered-bn/seed-101.json
2026-08-03T11:34:28+02:00	matched-random-all	blind	101	recovered-short	mnist_validation_accuracy	0.9498	effective_rank=36.255;median_variance=0.0384;nearest_centroid=0.7982	keep-control	artifacts/recovery-v2/matched-random-all/seed-101.json
2026-08-03T11:34:28+02:00	matched-bp-all	blind	101	recovered-short	mnist_validation_accuracy	0.9800	effective_rank=11.332;median_variance=0.9347;nearest_centroid=0.9545	keep-control	artifacts/recovery-v2/matched-bp-all/seed-101.json
2026-08-03T11:44:29+02:00	epochs-60	blind	101	b0-short-detached-last	mnist_validation_accuracy	0.9008	effective_rank=12.144;median_variance=4.97e-5;nearest_centroid=0.9053	discard	artifacts/recovery-v2/epochs-60/seed-101.json
2026-08-03T11:44:29+02:00	recovered-long	blind	101	recovered-short	mnist_validation_accuracy	0.9568	effective_rank=298.730;median_variance=0.7694;nearest_centroid=0.9433	discard-use-short	artifacts/recovery-v2/recovered-long/seed-101.json
2026-08-03T11:44:29+02:00	canonical-recovered	blind	101	recovered-short	mnist_validation_accuracy	0.9663	effective_rank=162.657;median_variance=0.5511;nearest_centroid=0.9514	keep-finalist	artifacts/recovery-v2/canonical-recovered/seed-101.json
2026-08-03T11:44:29+02:00	canonical-recovered-bn	blind	101	canonical-recovered	mnist_validation_accuracy	0.9738	effective_rank=40.130;median_variance=0.1882;nearest_centroid=0.9542	keep-finalist	artifacts/recovery-v2/canonical-recovered-bn/seed-101.json
2026-08-03T11:53:26+02:00	canonical-recovered-bn	blind	202	canonical-recovered	mnist_validation_accuracy	0.9732	effective_rank=37.778;median_variance=0.1810;nearest_centroid=0.9536	keep-finalist	artifacts/recovery-v2/canonical-recovered-bn/seed-202.json
2026-08-03T11:53:26+02:00	canonical-recovered	blind	202	recovered-short	mnist_validation_accuracy	0.9663	effective_rank=160.091;median_variance=0.5521;nearest_centroid=0.9541	keep-ablation	artifacts/recovery-v2/canonical-recovered/seed-202.json
2026-08-03T11:53:26+02:00	matched-bp-all	blind	202	canonical-recovered-bn	mnist_validation_accuracy	0.9804	effective_rank=11.173;median_variance=0.9817;nearest_centroid=0.9541	keep-control	artifacts/recovery-v2/matched-bp-all/seed-202.json
2026-08-03T11:53:26+02:00	matched-random-all	blind	202	canonical-recovered-bn	mnist_validation_accuracy	0.9486	effective_rank=37.011;median_variance=0.0406;nearest_centroid=0.8020	keep-control	artifacts/recovery-v2/matched-random-all/seed-202.json
2026-08-03T11:53:26+02:00	canonical-recovered-bn	blind	303	canonical-recovered	mnist_validation_accuracy	0.9714	effective_rank=39.574;median_variance=0.1869;nearest_centroid=0.9551	keep-finalist	artifacts/recovery-v2/canonical-recovered-bn/seed-303.json
2026-08-03T11:53:26+02:00	canonical-recovered	blind	303	recovered-short	mnist_validation_accuracy	0.9663	effective_rank=156.917;median_variance=0.5633;nearest_centroid=0.9509	keep-ablation	artifacts/recovery-v2/canonical-recovered/seed-303.json
2026-08-03T11:53:26+02:00	matched-bp-all	blind	303	canonical-recovered-bn	mnist_validation_accuracy	0.9799	effective_rank=11.092;median_variance=1.0640;nearest_centroid=0.9500	keep-control	artifacts/recovery-v2/matched-bp-all/seed-303.json
2026-08-03T11:53:26+02:00	matched-random-all	blind	303	canonical-recovered-bn	mnist_validation_accuracy	0.9473	effective_rank=37.679;median_variance=0.0417;nearest_centroid=0.8029	keep-control	artifacts/recovery-v2/matched-random-all/seed-303.json
